criterion,zeri,i tatti,frick
documentation,1,0.3,0.02
artist's signature,6,1.2,0.02
archive creator's attribution,27.7,0.008,0
archive creator's bibliography,1.5,16.4,0
bibliography,49,8.3,43
archival classification,29.8,39.4,49
archive creator's note on photograph,6.7,14.5,0
scholar's attribution,1.3,2.1,4
scholar's note on photograph,0.005,7.15,0.3
museum attribution,0.04,2.1,4
inscription,0.07,0,0.02
sigla,0.4,0.008,0
auction attribution,1.8,5.4,0.6
collection attribution,1.2,0.25,0.2
market attribution,0.7,0,0.02
traditional attribution,0.005,0,0
stylistic analysis,0.2,0,0.2
anonymous note on photograph,2.6,2,4.1
false signature,0.005,0,0
caption on photograph,0.07,0.008,0.08
other,1.9,0,0.4
none,2.3,0,0